Nominal CL_scaled,Nominal AK_scaled,Nominal TF_scaled,Nominal TO_scaled,Total_Mutasi_scaled,Selisih_Final_scaled,Jumlah_Titik_Mutasi,Hari,Hari_dalam_Minggu,Akhir_Pekan,Is_Outlier_Nominal,Jenis_Bayar_Encoded,Akun_Closing_Encoded
-0.22783631696052364,-0.15891612247058776,-0.17726053497137864,-0.38434151536826466,-0.21404974677855304,0.09271566427881912,1,2,5,1,0,9,0
0.00417426042556435,0.05519728658321898,-0.17726053497137864,-0.38434151536826466,-0.09352984758228378,0.09254375132163176,1,20,2,0,0,9,0
-0.3730571285238846,-0.16895268851998493,-0.17726053497137864,-0.38434151536826466,-0.21969911705337816,0.025334526398178115,1,25,0,0,0,9,0
-0.1524275061400172,-0.08932926452810057,-0.17726053497137864,-0.38434151536826466,-0.17488077953976552,0.09266248781324846,1,4,0,0,0,9,0
-0.39484025025838876,-0.3128101352280113,-0.17726053497137864,-0.38434151536826466,-0.3006734243258716,0.09271566427881912,1,2,5,1,0,9,0
0.2848047655230656,0.313482291924826,0.4651287630521428,-0.38434151536826466,0.4307437659114072,-0.2736978644029698,2,15,4,0,1,9,2
-0.2781001442588341,-0.20508432629781484,-0.17726053497137864,-0.38434151536826466,-0.24003685004274858,0.0926340784686285,1,8,4,0,0,9,0
-0.0826155053971627,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.274826847740011,0,5,1,0,0,9,0
-0.4456675343055651,1.7814866470795356,-0.17726053497137864,-0.38434151536826466,0.8781618396876372,-1.072795909872809,1,9,5,1,1,8,7
-0.4456675343055651,1.2729673005767448,-0.17726053497137864,-0.38434151536826466,0.5919270790964977,-0.7959869110117973,1,26,1,0,1,8,7
-0.2969890152188805,-0.22248104078343664,-0.17726053497137864,-0.38434151536826466,-0.24982909185244548,0.0926289793554916,1,3,6,1,0,9,0
-0.19643376866806248,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.2177342632801935,0,8,4,0,0,2,0
0.10126744282871185,0.14418817222120742,-0.17726053497137864,-0.38434151536826466,-0.043438764478834366,0.09280526298108203,1,6,2,0,0,9,0
-0.040340274942952684,0.013712813579043926,-0.17726053497137864,-0.38434151536826466,-0.11688057805156095,0.09279652164427589,1,20,2,0,0,9,0
-0.008836072082397159,0.04315340732394235,-0.17726053497137864,-0.38434151536826466,-0.10030909191207392,0.0925736175557194,1,12,1,0,0,9,0
-0.2151135216594576,-0.14687224321131112,-0.17726053497137864,-0.38434151536826466,-0.20727050244876288,0.09254156598743023,1,13,2,0,0,9,0
